name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
GRID1-GRID2	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID1-GRID9	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID2-GRID3	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID2-GRID10	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID3-GRID4	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID3-GRID11	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID4-GRID12	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID4-GRID5	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID5-GRID6	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID5-GRID13	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID6-GRID14	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID6-GRID7	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID7-GRID8	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID7-GRID15	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID8-GRID16	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID9-GRID10	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID9-GRID17	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID10-GRID18	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID10-GRID11	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID11-GRID12	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID11-GRID19	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID12-GRID13	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID12-GRID20	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID13-GRID21	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID13-GRID14	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID14-GRID15	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID14-GRID22	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID15-GRID16	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID15-GRID23	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID16-GRID24	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID17-GRID18	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID17-GRID25	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID18-GRID19	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID18-GRID26	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID19-GRID27	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID19-GRID20	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID20-GRID21	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID20-GRID28	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID21-GRID29	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID21-GRID22	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID22-GRID30	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID22-GRID23	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID23-GRID24	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID23-GRID31	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID24-GRID32	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID25-GRID26	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID25-GRID33	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID26-GRID27	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID26-GRID34	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID27-GRID35	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID27-GRID28	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID28-GRID29	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID28-GRID36	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID29-GRID30	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID29-GRID37	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID30-GRID31	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID30-GRID38	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID31-GRID32	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID31-GRID39	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID32-GRID40	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID33-GRID34	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID33-GRID41	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID34-GRID35	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID34-GRID42	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID35-GRID36	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID35-GRID43	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID36-GRID37	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID36-GRID44	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID37-GRID38	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID37-GRID45	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID38-GRID46	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID38-GRID39	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID39-GRID40	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID39-GRID47	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID40-GRID48	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID41-GRID42	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID41-GRID49	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID42-GRID43	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID42-GRID50	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID43-GRID44	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID43-GRID51	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID44-GRID52	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID44-GRID45	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID45-GRID46	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID45-GRID53	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID46-GRID47	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID46-GRID54	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID47-GRID48	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID47-GRID55	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID48-GRID56	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID49-GRID50	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID49-GRID57	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID50-GRID58	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID50-GRID51	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID51-GRID52	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID51-GRID59	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID52-GRID53	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID52-GRID60	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID53-GRID54	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID53-GRID61	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID54-GRID55	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID54-GRID62	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID55-GRID56	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID55-GRID63	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID56-GRID64	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID57-GRID58	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID58-GRID59	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID59-GRID60	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID60-GRID61	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID61-GRID62	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID62-GRID63	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
GRID63-GRID64	ECOG	V	n/a	n/a	bipolar	GRID	999	grid	n/a
LOF1-LOF2	ECOG	V	n/a	n/a	bipolar	LOF	999	strip	n/a
LOF2-LOF3	ECOG	V	n/a	n/a	bipolar	LOF	999	strip	n/a
LOF3-LOF4	ECOG	V	n/a	n/a	bipolar	LOF	999	strip	n/a
LOF4-LOF5	ECOG	V	n/a	n/a	bipolar	LOF	999	strip	n/a
LOF5-LOF6	ECOG	V	n/a	n/a	bipolar	LOF	999	strip	n/a
LOF6-LOF7	ECOG	V	n/a	n/a	bipolar	LOF	999	strip	n/a
LOF7-LOF8	ECOG	V	n/a	n/a	bipolar	LOF	999	strip	n/a
LLT1-LLT2	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT1-LLT9	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT2-LLT3	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT2-LLT10	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT3-LLT4	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT3-LLT11	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT4-LLT5	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT4-LLT12	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT5-LLT13	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT5-LLT6	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT6-LLT14	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT6-LLT7	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT7-LLT15	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT7-LLT8	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT8-LLT16	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT9-LLT10	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT10-LLT11	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT11-LLT12	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT12-LLT13	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT13-LLT14	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT14-LLT15	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
LLT15-LLT16	ECOG	V	n/a	n/a	bipolar	LLT	999	grid	n/a
AFD1-AFD2	SEEG	V	n/a	n/a	bipolar	AFD	999	depth	n/a
AFD2-AFD3	SEEG	V	n/a	n/a	bipolar	AFD	999	depth	n/a
AFD3-AFD4	SEEG	V	n/a	n/a	bipolar	AFD	999	depth	n/a
AFD4-AFD5	SEEG	V	n/a	n/a	bipolar	AFD	999	depth	n/a
AFD5-AFD6	SEEG	V	n/a	n/a	bipolar	AFD	999	depth	n/a
AFD6-AFD7	SEEG	V	n/a	n/a	bipolar	AFD	999	depth	n/a
AFD7-AFD8	SEEG	V	n/a	n/a	bipolar	AFD	999	depth	n/a
PFD1-PFD2	SEEG	V	n/a	n/a	bipolar	PFD	999	depth	n/a
PFD2-PFD3	SEEG	V	n/a	n/a	bipolar	PFD	999	depth	n/a
PFD3-PFD4	SEEG	V	n/a	n/a	bipolar	PFD	999	depth	n/a
PFD4-PFD5	SEEG	V	n/a	n/a	bipolar	PFD	999	depth	n/a
PFD5-PFD6	SEEG	V	n/a	n/a	bipolar	PFD	999	depth	n/a
PFD6-PFD7	SEEG	V	n/a	n/a	bipolar	PFD	999	depth	n/a
PFD7-PFD8	SEEG	V	n/a	n/a	bipolar	PFD	999	depth	n/a
